Consulting Firm,Start date,End date,Num Respondents,Country,Type of survey,Undecided percentage,Results
Consultant B,2024-05-18,2024-05-27,3203,Espana,Internet,16.15,'(Party 1: 42.29); (Party 2: 49.52); (Party 3: 6.01); (Party 4: 1.76); (Party 5: 0.18); (Party 6: 0.23)'
Consultant B,2024-05-08,2024-05-14,2804,Irlanda,Internet,25.68,'(Party 1: 86.01); (Party 2: 13.83); (Party 3: 0.03); (Party 4: 0.12); (Party 5: 0.01)'
Consultant B,2024-05-19,2024-05-24,3778,Bulgaria,Face_to_face,29.69,'(Party 1: 31.14); (Party 2: 19.44); (Party 3: 23.82); (Party 4: 2.33); (Party 5: 7.54); (Party 6: 3.77); (Party 7: 4.4); (Party 8: 3.9); (Party 9: 2.79); (Party 10: 0.69); (Party 11: 0.0); (Party 12: 0.08); (Party 13: 0.07); (Party 14: 0.02); (Party 15: 0.01)'
Consultant C,2024-05-11,2024-05-20,3270,Francia,Face_to_face,15.49,'(Party 1: 19.37); (Party 2: 59.56); (Party 3: 11.41); (Party 4: 4.23); (Party 5: 2.66); (Party 6: 2.26); (Party 7: 0.09); (Party 8: 0.33); (Party 9: 0.05); (Party 10: 0.02); (Party 11: 0.02)'
Consultant C,2024-05-16,2024-05-20,2920,Belgica,Internet,34.99,'(Party 1: 41.27); (Party 2: 43.96); (Party 3: 1.65); (Party 4: 3.3); (Party 5: 0.35); (Party 6: 2.59); (Party 7: 0.56); (Party 8: 4.38)'
Consultant B,2024-05-13,2024-05-17,3213,Bulgaria,Internet,36.74,'(Party 1: 82.38); (Party 2: 2.79); (Party 3: 13.02); (Party 4: 0.78); (Party 5: 0.55); (Party 6: 0.01); (Party 7: 0.08); (Party 8: 0.15); (Party 9: 0.1); (Party 10: 0.12); (Party 11: 0.0)'
Consultant A,2024-05-12,2024-05-26,3831,Austria,Internet,34.67,'(Party 1: 96.62); (Party 2: 1.5); (Party 3: 1.47); (Party 4: 0.26); (Party 5: 0.1); (Party 6: 0.04)'
Consultant B,2024-05-13,2024-05-20,3866,Francia,Face_to_face,33.71,'(Party 1: 0.02); (Party 2: 91.86); (Party 3: 6.54); (Party 4: 0.26); (Party 5: 0.66); (Party 6: 0.4); (Party 7: 0.15); (Party 8: 0.1); (Party 9: 0.01)'
Consultant A,2024-05-20,2024-05-30,2583,Bulgaria,Telephone,14.54,'(Party 1: 75.84); (Party 2: 23.4); (Party 3: 0.53); (Party 4: 0.06); (Party 5: 0.16); (Party 6: 0.01)'
Consultant C,2024-05-05,2024-05-13,3352,Lituania,Telephone,28.02,'(Party 1: 73.5); (Party 2: 21.54); (Party 3: 2.09); (Party 4: 2.09); (Party 5: 0.69); (Party 6: 0.02); (Party 7: 0.01)'
Consultant A,2024-05-18,2024-05-25,3651,Malta,Face_to_face,17.69,'(Party 1: 56.09); (Party 2: 29.82); (Party 3: 0.6); (Party 4: 0.7); (Party 5: 10.69); (Party 6: 1.7); (Party 7: 0.13); (Party 8: 0.08)'
Consultant C,2024-05-08,2024-05-23,2350,Espana,Internet,24.97,'(Party 1: 93.74); (Party 2: 0.55); (Party 3: 4.41); (Party 4: 0.68); (Party 5: 0.16); (Party 6: 0.44); (Party 7: 0.0); (Party 8: 0.01); (Party 9: 0.0); (Party 10: 0.01)'
Consultant B,2024-05-09,2024-05-28,2565,Malta,Internet,20.93,'(Party 1: 80.23); (Party 2: 3.21); (Party 3: 4.52); (Party 4: 7.31); (Party 5: 3.23); (Party 6: 1.16); (Party 7: 0.28); (Party 8: 0.05); (Party 9: 0.0); (Party 10: 0.0); (Party 11: 0.0)'
Consultant A,2024-05-08,2024-05-18,2959,Irlanda,Internet,26.3,'(Party 1: 32.78); (Party 2: 49.58); (Party 3: 1.33); (Party 4: 0.31); (Party 5: 4.85); (Party 6: 8.24); (Party 7: 0.3); (Party 8: 1.46); (Party 9: 1.12); (Party 10: 0.01); (Party 11: 0.02); (Party 12: 0.0); (Party 13: 0.0); (Party 14: 0.0); (Party 15: 0.0); (Party 16: 0.0); (Party 17: 0.0); (Party 18: 0.0); (Party 19: 0.0)'
Consultant A,2024-05-20,2024-05-25,3499,Lituania,Telephone,23.99,'(Party 1: 97.99); (Party 2: 0.01); (Party 3: 1.61); (Party 4: 0.22); (Party 5: 0.17)'
Consultant A,2024-05-09,2024-05-28,2704,Hungria,Internet,25.44,'(Party 1: 87.58); (Party 2: 7.61); (Party 3: 4.6); (Party 4: 0.01); (Party 5: 0.03); (Party 6: 0.05); (Party 7: 0.04); (Party 8: 0.07); (Party 9: 0.01)'
Consultant B,2024-05-16,2024-05-21,2032,Lituania,Telephone,29.08,'(Party 1: 87.71); (Party 2: 1.7); (Party 3: 8.54); (Party 4: 0.19); (Party 5: 1.43); (Party 6: 0.24); (Party 7: 0.11); (Party 8: 0.01); (Party 9: 0.06)'
Consultant C,2024-05-10,2024-05-20,2817,Portugal,Internet,19.27,'(Party 1: 38.9); (Party 2: 16.56); (Party 3: 11.69); (Party 4: 32.65); (Party 5: 0.14); (Party 6: 0.01); (Party 7: 0.01); (Party 8: 0.01)'
Consultant A,2024-05-06,2024-05-30,2053,Portugal,Internet,30.05,'(Party 1: 12.11); (Party 2: 38.4); (Party 3: 19.0); (Party 4: 22.53); (Party 5: 7.01); (Party 6: 0.75); (Party 7: 0.15); (Party 8: 0.01); (Party 9: 0.03); (Party 10: 0.01)'
Consultant B,2024-05-15,2024-05-30,2463,Grecia,Internet,30.4,'(Party 1: 97.89); (Party 2: 1.38); (Party 3: 0.19); (Party 4: 0.04); (Party 5: 0.23); (Party 6: 0.01); (Party 7: 0.15); (Party 8: 0.03); (Party 9: 0.02); (Party 10: 0.01); (Party 11: 0.03); (Party 12: 0.0); (Party 13: 0.01); (Party 14: 0.01)'
Consultant C,2024-05-06,2024-05-25,2614,Portugal,Internet,20.57,'(Party 1: 93.49); (Party 2: 2.82); (Party 3: 2.94); (Party 4: 0.26); (Party 5: 0.44); (Party 6: 0.03); (Party 7: 0.0); (Party 8: 0.01); (Party 9: 0.01)'
Consultant B,2024-05-10,2024-05-26,3291,Estonia,Internet,16.15,'(Party 1: 46.52); (Party 2: 11.16); (Party 3: 25.23); (Party 4: 4.12); (Party 5: 6.6); (Party 6: 3.13); (Party 7: 0.06); (Party 8: 0.5); (Party 9: 0.46); (Party 10: 1.4); (Party 11: 0.47); (Party 12: 0.13); (Party 13: 0.21); (Party 14: 0.01)'
Consultant C,2024-05-08,2024-05-17,2261,Suecia,Internet,20.61,'(Party 1: 95.94); (Party 2: 3.78); (Party 3: 0.16); (Party 4: 0.09); (Party 5: 0.01); (Party 6: 0.01); (Party 7: 0.01)'
Consultant A,2024-05-08,2024-05-14,3149,Grecia,Internet,23.31,'(Party 1: 94.16); (Party 2: 3.33); (Party 3: 0.12); (Party 4: 0.18); (Party 5: 2.07); (Party 6: 0.07)'
Consultant C,2024-05-10,2024-05-20,2939,Irlanda,Face_to_face,24.3,'(Party 1: 36.09); (Party 2: 33.94); (Party 3: 17.24); (Party 4: 2.32); (Party 5: 5.52); (Party 6: 2.11); (Party 7: 1.57); (Party 8: 0.52); (Party 9: 0.45)'
Consultant C,2024-05-12,2024-05-29,2785,Croacia,Face_to_face,32.05,'(Party 1: 8.16); (Party 2: 16.37); (Party 3: 73.91); (Party 4: 0.94); (Party 5: 0.17); (Party 6: 0.36); (Party 7: 0.05); (Party 8: 0.04)'
Consultant B,2024-05-07,2024-05-30,3012,Rumania,Internet,29.79,'(Party 1: 12.31); (Party 2: 23.61); (Party 3: 27.6); (Party 4: 27.9); (Party 5: 1.33)'
Consultant B,2024-05-16,2024-05-21,2487,Letonia,Face_to_face,22.02,'(Party 1: 97.82); (Party 2: 1.04); (Party 3: 0.56); (Party 4: 0.09); (Party 5: 0.44); (Party 6: 0.02); (Party 7: 0.0); (Party 8: 0.02); (Party 9: 0.0)'
Consultant C,2024-05-16,2024-05-23,2540,Suecia,Telephone,10.04,'(Party 1: 87.24); (Party 2: 6.49); (Party 3: 2.18); (Party 4: 0.38); (Party 5: 0.34); (Party 6: 2.24); (Party 7: 0.42); (Party 8: 0.42); (Party 9: 0.17); (Party 10: 0.07); (Party 11: 0.04); (Party 12: 0.0); (Party 13: 0.0); (Party 14: 0.01)'
Consultant B,2024-05-06,2024-05-16,2918,Espana,Telephone,29.52,'(Party 1: 18.42); (Party 2: 67.79); (Party 3: 12.76); (Party 4: 0.5); (Party 5: 0.3); (Party 6: 0.0); (Party 7: 0.1); (Party 8: 0.07); (Party 9: 0.0); (Party 10: 0.0); (Party 11: 0.03); (Party 12: 0.0)'
Consultant A,2024-05-12,2024-05-26,3532,Bulgaria,Internet,32.11,'(Party 1: 59.13); (Party 2: 0.44); (Party 3: 28.96); (Party 4: 4.75)'
Consultant A,2024-05-05,2024-05-21,2311,Espana,Telephone,34.56,'(Party 1: 88.63); (Party 2: 4.94); (Party 3: 5.33); (Party 4: 0.22)'
Consultant B,2024-05-06,2024-05-16,2805,Lituania,Telephone,12.8,'(Party 1: 34.1); (Party 2: 46.9); (Party 3: 1.97); (Party 4: 10.18); (Party 5: 1.45); (Party 6: 1.0); (Party 7: 4.11); (Party 8: 0.15); (Party 9: 0.03); (Party 10: 0.07); (Party 11: 0.03)'
Consultant B,2024-05-14,2024-05-22,3537,Hungria,Telephone,16.41,'(Party 1: 22.71); (Party 2: 42.26); (Party 3: 21.04); (Party 4: 4.61); (Party 5: 6.78); (Party 6: 0.46); (Party 7: 1.0); (Party 8: 0.21)'
Consultant C,2024-05-11,2024-05-18,2580,Belgica,Telephone,32.33,'(Party 1: 62.17); (Party 2: 1.76)'
Consultant C,2024-05-11,2024-05-17,2274,Luxemburgo,Telephone,27.38,'(Party 1: 26.43); (Party 2: 12.8); (Party 3: 54.82); (Party 4: 4.21); (Party 5: 1.27); (Party 6: 0.37); (Party 7: 0.02); (Party 8: 0.02); (Party 9: 0.04); (Party 10: 0.0); (Party 11: 0.02)'
Consultant B,2024-05-05,2024-05-26,3153,Grecia,Telephone,34.43,'(Party 1: 4.47); (Party 2: 65.24); (Party 3: 27.29); (Party 4: 0.31); (Party 5: 1.24); (Party 6: 1.08); (Party 7: 0.04); (Party 8: 0.23); (Party 9: 0.01); (Party 10: 0.09)'
Consultant B,2024-05-13,2024-05-23,2145,Italia,Internet,23.43,'(Party 1: 38.24); (Party 2: 55.14); (Party 3: 4.32); (Party 4: 0.58); (Party 5: 0.0); (Party 6: 1.42); (Party 7: 0.13); (Party 8: 0.03); (Party 9: 0.03); (Party 10: 0.07); (Party 11: 0.03); (Party 12: 0.01); (Party 13: 0.0); (Party 14: 0.0); (Party 15: 0.0); (Party 16: 0.0); (Party 17: 0.0); (Party 18: 0.0); (Party 19: 0.0); (Party 20: 0.0)'
Consultant A,2024-05-18,2024-05-24,2869,Eslovenia,Face_to_face,38.53,'(Party 1: 36.65); (Party 2: 10.92); (Party 3: 21.92); (Party 4: 26.73); (Party 5: 3.36); (Party 6: 0.1); (Party 7: 0.03); (Party 8: 0.12); (Party 9: 0.09); (Party 10: 0.02); (Party 11: 0.02); (Party 12: 0.04)'
Consultant A,2024-05-15,2024-05-29,3854,Eslovaquia,Telephone,18.62,'(Party 1: 84.08); (Party 2: 1.67); (Party 3: 10.9); (Party 4: 1.71); (Party 5: 0.26); (Party 6: 1.24); (Party 7: 0.05); (Party 8: 0.01); (Party 9: 0.07); (Party 10: 0.01)'
Consultant A,2024-05-10,2024-05-19,2996,Paises Bajos,Internet,26.16,'(Party 1: 15.2); (Party 2: 72.06); (Party 3: 2.04); (Party 4: 7.86); (Party 5: 2.05); (Party 6: 0.16); (Party 7: 0.22)'
Consultant C,2024-05-05,2024-05-18,3756,Irlanda,Internet,16.08,'(Party 1: 0.28); (Party 2: 60.37); (Party 3: 22.39); (Party 4: 1.95); (Party 5: 12.32); (Party 6: 0.19); (Party 7: 2.48); (Party 8: 0.01); (Party 9: 0.0); (Party 10: 0.0); (Party 11: 0.01)'
Consultant A,2024-05-17,2024-05-27,2479,Portugal,Internet,39.79,'(Party 1: 43.17); (Party 2: 40.49); (Party 3: 11.41); (Party 4: 3.66); (Party 5: 1.08); (Party 6: 0.16); (Party 7: 0.0); (Party 8: 0.02); (Party 9: 0.01)'
Consultant C,2024-05-12,2024-05-19,3603,Dinamarca,Internet,31.67,'(Party 1: 52.55); (Party 2: 7.02); (Party 3: 6.38); (Party 4: 22.21); (Party 5: 1.93); (Party 6: 1.51); (Party 7: 7.64); (Party 8: 0.66); (Party 9: 0.04); (Party 10: 0.01); (Party 11: 0.03)'
Consultant A,2024-05-11,2024-05-26,2423,Espana,Face_to_face,26.04,'(Party 1: 68.53); (Party 2: 10.84); (Party 3: 12.8); (Party 4: 0.25); (Party 5: 5.24); (Party 6: 1.82); (Party 7: 0.19); (Party 8: 0.1); (Party 9: 0.08); (Party 10: 0.12); (Party 11: 0.02); (Party 12: 0.01); (Party 13: 0.0); (Party 14: 0.0); (Party 15: 0.0); (Party 16: 0.0); (Party 17: 0.0); (Party 18: 0.0)'
Consultant C,2024-05-16,2024-05-29,2975,Belgica,Internet,16.96,'(Party 1: 82.53); (Party 2: 14.63); (Party 3: 2.38); (Party 4: 0.17); (Party 5: 0.06); (Party 6: 0.1); (Party 7: 0.08); (Party 8: 0.04); (Party 9: 0.0); (Party 10: 0.01)'
Consultant C,2024-05-12,2024-05-28,3362,Alemania,Face_to_face,33.83,'(Party 1: 96.78); (Party 2: 0.42); (Party 3: 0.98); (Party 4: 0.44); (Party 5: 0.2); (Party 6: 0.17); (Party 7: 0.14); (Party 8: 0.04); (Party 9: 0.08)'
Consultant A,2024-05-12,2024-05-21,3676,Finlandia,Internet,10.47,'(Party 1: 15.37); (Party 2: 42.31); (Party 3: 41.23); (Party 4: 0.61); (Party 5: 0.37); (Party 6: 0.06); (Party 7: 0.01); (Party 8: 0.01); (Party 9: 0.01); (Party 10: 0.01)'
Consultant A,2024-05-18,2024-05-30,3924,Rumania,Internet,38.2,'(Party 1: 91.69); (Party 2: 3.55); (Party 3: 3.61); (Party 4: 0.46); (Party 5: 0.35); (Party 6: 0.24); (Party 7: 0.06); (Party 8: 0.04); (Party 9: 0.0); (Party 10: 0.0); (Party 11: 0.0); (Party 12: 0.0); (Party 13: 0.0); (Party 14: 0.0); (Party 15: 0.0); (Party 16: 0.0); (Party 17: 0.0); (Party 18: 0.0); (Party 19: 0.0); (Party 20: 0.0)'
Consultant C,2024-05-16,2024-05-21,2944,Eslovenia,Telephone,35.67,'(Party 1: 31.83); (Party 2: 45.36); (Party 3: 19.28); (Party 4: 1.79); (Party 5: 1.4); (Party 6: 0.11)'
Consultant A,2024-05-16,2024-05-26,3322,Italia,Face_to_face,20.3,'(Party 1: 92.31); (Party 2: 2.39); (Party 3: 4.19); (Party 4: 0.44); (Party 5: 0.38); (Party 6: 0.18); (Party 7: 0.04); (Party 8: 0.07)'
Consultant B,2024-05-16,2024-05-23,2228,Grecia,Telephone,14.58,'(Party 1: 20.17); (Party 2: 15.68); (Party 3: 10.97)'
